title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Blinding Lights,The Weeknd,2019,3703895074,171,C-sharp,Major,50,38,80,0,0,9,7
Shape of You,Ed Sheeran,2017,3562543890,96,C-sharp,Minor,83,93,65,58,0,9,8
Someone You Loved,Lewis Capaldi,2018,2887241814,110,C-sharp,Major,50,45,41,75,0,11,3
Dance Monkey,Tones and I,2019,2864791672,98,F-sharp,Minor,82,54,59,69,0,18,10
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone . Swae Lee,2018,2808096550,90,D,Major,76,91,50,54,0,7,5
One Dance,Drake . WizKid . Kyla,2016,2713922350,104,C-sharp,Major,77,36,63,1,0,36,5
STAY (with Justin Bieber),Justin Bieber . The Kid Laroi,2021,2665343922,170,C-sharp,Major,59,48,76,4,0,10,5
Believer,Imagine Dragons,2017,2594040133,125,A-sharp,Minor,77,74,78,4,0,23,11
Closer,The Chainsmokers . Halsey,2016,2591224264,95,G-sharp,Major,75,64,52,41,0,11,3
Starboy,The Weeknd . Daft Punk,2016,2565529693,186,G,Major,68,49,59,16,0,13,28
Perfect,Ed Sheeran,2017,2559529074,95,G-sharp,Major,60,17,45,16,0,11,2
Heat Waves,Glass Animals,2020,2557975762,81,B,Major,76,53,53,44,0,9,9
As It Was,Harry Styles,2022,2513188493,174,F-sharp,Minor,52,66,73,34,0,31,6
Say You Won't Let Go,James Arthur,2016,2420461338,99,A-sharp,Major,40,45,56,69,0,9,5
lovely - Bonus Track,Billie Eilish . Khalid,2017,2355719893,115,E,Minor,35,12,30,93,0,10,3
Watermelon Sugar,Harry Styles,2019,2322580122,95,unknown,Major,55,56,82,12,0,34,5
Don't Start Now,Dua Lipa,2019,2303033973,124,B,Minor,79,68,79,1,0,10,8
Lucid Dreams,Juice WRLD,2017,2288695111,84,B,Minor,44,22,48,38,0,33,24
Sweater Weather,The Neighbourhood,2012,2282771485,124,A-sharp,Major,61,41,81,5,2,10,3
Thinking Out Loud,Ed Sheeran,2014,2280566092,79,D,Major,78,58,45,47,0,18,3
Photograph,Ed Sheeran,2014,2236667932,108,E,Major,61,20,38,61,0,10,5
Something Just Like This,The Chainsmokers . Coldplay,2017,2204080728,103,B,Minor,61,47,65,3,0,17,4
Bohemian Rhapsody - Remastered 2011,Queen,1975,2197010679,71,unknown,Minor,41,23,40,27,0,30,5
Shallow,Lady Gaga . Bradley Cooper,2018,2159346687,96,G,Major,57,30,40,38,0,26,3
Take Me To Church,Hozier,2013,2135158446,129,E,Minor,57,41,66,63,0,12,5
Circles,Post Malone,2019,2132335812,120,unknown,Major,70,59,75,24,0,9,4
Love Yourself,Justin Bieber,2015,2123309722,100,E,Major,61,53,38,84,0,28,44
All of Me,John Legend,2013,2086124197,120,G-sharp,Major,42,33,26,92,0,13,3
Counting Stars,OneRepublic,2013,2011464183,122,C-sharp,Minor,66,48,71,6,0,12,4
Riptide,Vance Joy,1975,2009094673,102,C-sharp,Major,48,50,73,43,0,15,4
Wake Me Up - Radio Edit,Avicii,2013,1970673297,124,D,Major,53,66,78,0,0,16,5
Can't Hold Us (feat. Ray Dalton),Ray Dalton . Ryan Lewis . Macklemore,2011,1953533826,146,D,Major,63,88,93,3,0,10,8
The Hills,The Weeknd,2015,1947371785,136,unknown,Minor,36,12,57,9,0,14,8
HUMBLE.,Kendrick Lamar,2017,1929770265,150,C-sharp,Minor,91,42,60,0,0,9,12
One Kiss (with Dua Lipa),Calvin Harris . Dua Lipa,2017,1897517891,124,A,Minor,79,59,86,4,0,8,11
good 4 u,Olivia Rodrigo,2021,1887039593,166,F-sharp,Minor,56,68,66,28,0,11,18
drivers license,Olivia Rodrigo,2021,1858144199,144,A-sharp,Major,59,21,43,76,0,10,7
Demons,Imagine Dragons,2012,1840364617,180,D-sharp,Major,33,38,71,20,0,28,5
Lose Yourself - Soundtrack Version,Eminem,2002,1829992958,171,D,Major,70,6,73,1,0,36,26
INDUSTRY BABY (feat. Jack Harlow),Jack Harlow . Lil Nas X,2021,1814349763,150,D-sharp,Minor,74,89,70,2,0,5,6
Another Love,Tom Odell,2012,1813673666,123,E,Minor,45,13,54,70,0,9,4
Mr. Brightside,The Killers,2003,1806617704,148,C-sharp,Major,35,24,93,0,0,10,8
Levitating (feat. DaBaby),Dua Lipa . DaBaby,2020,1802514301,103,F-sharp,Minor,70,92,83,1,0,7,6
No Role Modelz,J. Cole,2014,1791000570,100,A-sharp,Minor,70,47,52,30,0,6,33
Do I Wanna Know?,Arctic Monkeys,2013,1788326445,85,F,Major,55,42,53,17,0,22,3
Dakiti,Bad Bunny . Jhay Cortez,2020,1763363713,110,E,Minor,73,14,57,40,0,11,5
Memories,Maroon 5,2019,1759567999,91,B,Major,77,60,32,84,0,8,5
Yellow,Chris Molitor,1999,1755214421,173,B,Major,43,28,66,0,0,23,3
MONTERO (Call Me By Your Name),Lil Nas X,2020,1735441776,179,G-sharp,Minor,61,76,51,30,0,38,15
There's Nothing Holdin' Me Back,Shawn Mendes,2016,1714490998,122,D,Major,86,97,80,36,0,9,6
Mood (feat. Iann Dior),24kgoldn . Iann Dior,2020,1699402402,91,G,Minor,70,76,72,22,0,27,4
'Till I Collapse,Eminem . Nate Dogg,2002,1695712020,171,C-sharp,Major,55,10,85,7,0,8,20
Dynamite,BTS,2020,1692897992,114,F-sharp,Minor,75,74,77,1,0,9,10
Smells Like Teen Spirit - Remastered 2021,Nirvana,1991,1690192927,117,C-sharp,Major,52,73,91,0,0,11,7
Without Me,Eminem,2002,1687664027,112,G,Major,92,67,66,0,0,36,9
When I Was Your Man,Bruno Mars,2012,1661187319,145,unknown,Major,60,43,27,94,0,14,4
Die For You,The Weeknd,2016,1647990401,134,C-sharp,Minor,59,51,52,9,0,15,7
Just The Way You Are,Bruno Mars,2010,1641426668,109,F,Major,63,46,85,1,0,9,5
In The End,Linkin Park,2000,1624165576,105,D-sharp,Minor,55,40,90,1,0,32,6
The Scientist,Coldplay,2002,1608164312,146,F,Major,56,21,44,73,0,11,2
Before You Go,Lewis Capaldi,2019,1608045237,112,D-sharp,Major,45,19,60,63,0,9,6
I'm Not The Only One,Sam Smith,2014,1606986953,82,F,Major,68,50,49,56,0,8,4
Cold Heart - PNAU Remix,Dua Lipa . Elton John . Pnau,2017,1605224506,116,C-sharp,Major,80,92,80,4,0,10,3
